IDs,tsne dim 1,tsne dim 2,Clusters
PL-01-0127-H1,0.28338745,-17.028242,0
CZ-01-0621-H1,4.7980943,-21.281094,1
DE-02-0917-H1,2.3477166,-17.207155,0
SE-01-0123-H1,-6.494605,-4.6027193,-1
CZ-01-1862-H1,-8.396818,1.0264066,10
DE-03-1552-H1,-13.614307,-14.8236475,-1
IT-02-0176-H1,-3.8298392,18.01497,5
DE-02-5173-H1,-15.534511,-2.0494885,-1
DE-03-0379-H1,-18.253174,-3.2953713,-1
SR-01-0089-H1,-8.396818,1.0264066,10
DE-03-0917-H1,-3.850691,17.954983,5
SE-01-0109-H1,3.273701,-16.851637,0
IT-02-0072-H1,-8.396818,1.0264066,10
UK-03-0404-H1,-1.9211069,-5.4794555,-1
DE-02-4003-H1,-3.7427163,18.18791,5
DE-03-2439-H1,-21.199528,-8.303933,-1
DE-03-2500-H1,-7.4974484,-7.994477,-1
DK-01-0643-H1,-3.7431042,18.18753,5
IT-02-0230-H1,-3.7554028,18.16776,5
IT-02-0334-H1,6.33958,-21.467808,1
DE-03-3325-H1,-11.431718,-13.770244,-1
IT-01-0293-H1,-3.7514567,18.17474,5
CZ-01-0686-H1,-3.849264,17.959667,5
IT-07-0318-H1,-3.8550332,17.941536,5
CZ-01-0680-H1,0.6253564,4.9033046,7
US-01-0436-H1,1.5139904,-19.981472,0
DE-02-3952-H1,-15.333121,-4.941304,-1
NL-01-0044-H1,-14.484311,-14.245946,-1
UK-01-0430-H1,-11.431718,-13.770244,-1
GR-03-0098-H1,-14.999792,-15.447162,16
IT-02-0612-H1,-3.8409019,17.983572,5
IT-05-0391-H1,-3.8503215,17.956078,5
DE-03-1974-H1,1.8227146,-6.071483,-1
UK-01-0774-H1,-11.126813,9.523035,-1
FR-01-0419-H1,1.5139904,-19.981472,0
IT-02-0728-H1,-3.7430913,18.187574,5
DE-03-3129-H1,-6.713586,-1.7409801,-1
DE-03-3309-H1,-3.85507,17.941744,5
DE-02-3975-H1,5.0282545,1.4249036,7
GR-02-0804-H1,-11.927208,-4.463779,-1
RU-01-0423-H1,-11.240474,9.813411,-1
UK-03-0424-H1,-3.8472087,17.96648,5
DE-02-0736-H1,-14.311557,-9.998015,11
DE-03-1962-H1,-17.381193,-14.172113,15
IT-02-0478-H1,-3.7561848,18.167393,5
GR-01-0458-H1,-3.852964,17.948454,5
DE-03-4329-H1,-17.442629,-14.041037,15
GR-01-0909-H1,-3.8543313,17.94398,5
IT-02-0376-H1,-3.847357,17.9661,5
DE-02-4456-H1,-3.8519046,17.951302,5
DK-01-1131-H1,-15.805276,2.2573879,-1
IT-01-0215-H1,-3.7427979,18.187286,5
US-01-0847-H1,-13.623036,-1.9452523,-1
US-01-0838-H1,-19.130138,-6.4283533,-1
DE-02-0162-H1,-12.139357,1.5422568,-1
DE-02-0474-H1,2.2544563,-5.9782486,-1
US-01-0982-H1,-8.663616,-0.33299753,10
SE-01-1229-H1,-3.8478942,17.964294,5
GR-02-0516-H1,-8.939271,3.741929,-1
DE-02-1962-H1,-3.7443724,18.18553,5
IT-02-0749-H1,-11.431718,-13.770244,-1
NL-01-0595-H1,-3.8504386,17.955595,5
DK-01-0010-H1,-3.854475,17.943174,5
US-01-1199-H1,-3.8481884,17.963505,5
DK-01-1477-H1,-13.082627,-7.7101235,-1
CZ-01-0212-H1,-3.8469772,17.967842,5
IT-07-0336-H1,16.806135,8.038747,-1
IT-02-0542-H2,2.2544563,-5.9782486,-1
DE-03-4748-H1,-19.231564,-6.822947,-1
DE-02-4117-H1,-3.8504593,17.955647,5
NY-01-1083-H1,-5.0959544,-13.147624,-1
DE-01-0177-H1,-14.504828,-10.060972,11
CZ-01-0247-H1,-3.7388651,18.193197,5
US-01-0063-H1,-3.8513486,17.953304,5
US-01-1234-H1,-3.855911,17.938742,5
UK-01-0641-H1,-3.746713,18.181976,5
IT-08-0100-H1,-0.0773554,-0.78053737,-1
DE-03-2779-H1,3.2782755,-2.2167554,7
DK-01-1076-H1,-17.387642,-1.1840444,13
DE-03-3236-H1,-17.442629,-14.041037,15
IT-05-0129-H1,-3.8500881,17.95676,5
DK-01-1303-H1,-3.8515022,17.952658,5
IT-05-0084-H1,6.33958,-21.467808,1
SR-01-0058-H1,-3.8511953,17.953604,5
DE-02-0007-H1,-5.001368,-7.8004155,-1
SE-01-1251-H1,-3.8482978,17.963297,5
DK-01-0630-H1,-10.279522,-8.070927,9
IT-05-0277-H1,-3.7383997,18.19402,5
DK-01-0654-H1,-3.7437696,18.186357,5
DE-02-2287-H1,-6.402636,-6.4196696,10
RU-01-0434-H1,-3.8470678,17.966833,5
FR-01-0337-H1,-1.4737215,-4.4484477,-1
DK-01-0048-H1,4.522745,6.9200864,-1
GR-01-0348-H1,-3.8485823,17.962202,5
DE-03-4466-H1,-3.8483255,17.963066,5
DE-03-2766-H1,-21.898827,-8.843834,12
DE-01-0006-H1,-16.046417,0.14657794,-1
AT-01-0160-H1,-3.8549592,17.941713,5
IT-07-0338-H1,-3.7430391,18.187057,5
NL-01-0811-H1,-3.8516703,17.9523,5
US-01-0414-H1,2.1376157,1.4417362,7
DE-03-2990-H1,-3.84709,17.96685,5
DE-03-3587-H1,-17.442629,-14.041037,15
NY-01-0969-H1,-3.6185534,-10.451638,-1
CZ-01-0284-H1,-3.847727,17.964685,5
PL-01-0014-H1,-11.431719,-13.770238,-1
DK-01-1142-H1,16.933212,7.8700542,-1
US-01-0832-H1,-3.8535345,17.94648,5
DE-02-4690-H1,-3.0270545,4.919892,-1
DE-03-2752-H1,-3.8441384,17.9735,5
DE-02-3744-H1,-16.046417,0.14658234,-1
CZ-01-1071-H1,-11.240473,9.813412,-1
IT-02-0528-H2,-3.8532772,17.947437,5
DE-03-4825-H1,-3.7533832,18.172066,5
SE-01-0381-H1,-3.746856,18.181456,5
DE-03-1614-H1,-18.674953,2.2846377,14
CZ-01-0469-H1,-14.99143,-6.0392976,-1
DE-02-0376-H1,-11.891347,-8.263134,9
DE-02-3779-H1,-3.847304,17.966232,5
DE-03-3190-H1,-9.41375,-17.453814,-1
GR-01-0077-H1,2.4742343,-0.75786847,7
DE-02-1159-H1,-3.85143,17.952848,5
IT-08-0182-H1,4.7980943,-21.281094,1
UK-01-0238-H1,-10.54345,7.1894355,-1
DE-02-2744-H1,-3.7427943,18.187326,5
IT-01-0113-H1,4.7980943,-21.281094,1
GR-02-0461-H1,-13.308251,-7.7375793,-1
AT-01-0117-H1,-3.8500304,17.957325,5
US-01-0097-H1,-2.2699854,-1.19276,-1
NL-01-0971-H1,-14.499758,-10.065203,11
DE-03-2468-H1,2.175602,4.503725,7
SE-01-0444-H1,2.3591776,-18.904423,0
UK-03-0075-H1,-3.8511415,17.953928,5
DK-01-1519-H1,-3.8468332,17.967484,5
DK-01-0827-H1,-3.850043,17.957289,5
GR-03-0224-H1,-3.8477552,17.96489,5
