IDs,tsne dim 1,tsne dim 2,Cluster
PL-01-0127-H1,-15.177009,-10.079842,-1
CZ-01-0621-H1,-19.905272,-11.849044,4
DE-02-0917-H1,-16.037277,-8.120907,5
SE-01-0123-H1,2.300779,-8.796361,-1
CZ-01-1862-H1,7.695473,-7.489811,23
DE-03-1552-H1,-5.634398,-16.981787,-1
IT-02-0176-H1,17.531363,7.914705,7
DE-02-5173-H1,7.4503574,-13.869095,-1
DE-03-0379-H1,8.405944,-17.185463,-1
SR-01-0089-H1,7.695473,-7.489811,23
DE-03-0917-H1,17.421827,7.632686,7
SE-01-0109-H1,-16.227497,-7.127044,5
IT-02-0072-H1,7.695473,-7.489811,23
UK-03-0404-H1,-2.8510087,-5.9682994,15
DE-02-4003-H1,17.532227,7.913283,7
DE-03-2439-H1,4.2105513,-22.55294,-1
DE-03-2500-H1,0.096109234,-11.848176,-1
DK-01-0643-H1,17.532187,7.912986,7
IT-02-0230-H1,17.53144,7.9155517,7
IT-02-0334-H1,-21.447144,-11.649479,-1
DE-03-3325-H1,-5.629309,-14.170349,16
IT-01-0293-H1,17.527874,7.9188447,7
CZ-01-0686-H1,17.528936,7.905179,7
IT-07-0318-H1,17.464197,7.708643,7
CZ-01-0680-H1,4.892999,3.0301473,12
US-01-0436-H1,-18.940094,-8.652431,5
DE-02-3952-H1,5.0024247,-17.34937,-1
NL-01-0044-H1,-4.7300673,-17.528254,-1
UK-01-0430-H1,-5.629309,-14.170349,16
GR-03-0098-H1,-5.5076675,-18.557873,21
IT-02-0612-H1,17.529455,7.9119935,7
IT-05-0391-H1,17.439255,7.6577435,7
DE-03-1974-H1,-1.2584823,-2.0891778,14
UK-01-0774-H1,14.135619,-2.8287966,-1
FR-01-0419-H1,-18.940094,-8.652431,5
IT-02-0728-H1,17.532219,7.9130926,7
DE-03-3129-H1,4.441497,-7.5058193,-1
DE-03-3309-H1,17.435617,7.651013,7
DE-02-3975-H1,-1.2370641,4.692442,-1
GR-02-0804-H1,-4.12346,-9.107977,-1
RU-01-0423-H1,14.415551,-2.981573,-1
UK-03-0424-H1,17.470951,7.7210116,7
DE-02-0736-H1,-1.1728517,-16.589087,19
DE-03-1962-H1,-3.3232062,-20.475157,22
IT-02-0478-H1,17.528034,7.91898,7
GR-01-0458-H1,17.465399,7.70891,7
DE-03-4329-H1,-3.178425,-20.536865,22
GR-01-0909-H1,17.462414,7.7044234,7
IT-02-0376-H1,17.450562,7.6772127,7
DE-02-4456-H1,17.435446,7.653571,7
DK-01-1131-H1,11.602731,-11.749259,-1
IT-01-0215-H1,17.530233,7.910006,7
US-01-0847-H1,-6.2513504,-10.07757,-1
US-01-0838-H1,5.765152,-20.083916,26
DE-02-0162-H1,8.534029,-10.7937765,-1
DE-02-0474-H1,-1.6814185,-1.9982386,14
US-01-0982-H1,6.510196,-8.125267,23
SE-01-1229-H1,17.530611,7.9084253,7
GR-02-0516-H1,6.346066,-4.2863655,-1
DE-02-1962-H1,17.531727,7.9126015,7
IT-02-0749-H1,-5.629309,-14.170349,16
NL-01-0595-H1,17.454327,7.689923,7
DK-01-0010-H1,17.45365,7.6866612,7
US-01-1199-H1,17.530478,7.908034,7
DK-01-1477-H1,3.187772,-16.733324,18
CZ-01-0212-H1,17.528593,7.9148655,7
IT-07-0336-H1,-3.2841442,17.491545,-1
IT-02-0542-H2,-1.6814185,-1.9982386,14
DE-03-4748-H1,5.944595,-20.550285,26
DE-02-4117-H1,17.456455,7.6944017,7
NY-01-1083-H1,-8.900549,-9.344839,-1
DE-01-0177-H1,-1.1161016,-16.813702,19
CZ-01-0247-H1,17.530306,7.9102387,7
US-01-0063-H1,17.44672,7.672626,7
US-01-1234-H1,17.449894,7.680563,7
UK-01-0641-H1,17.531849,7.9159594,7
IT-08-0100-H1,1.2089714,-0.6611034,-1
DE-03-2779-H1,-2.2877648,1.0522383,13
DK-01-1076-H1,9.485384,-15.037553,27
DE-03-3236-H1,-3.178425,-20.536865,22
IT-05-0129-H1,17.442852,7.664806,7
DK-01-1303-H1,17.43716,7.6568165,7
IT-05-0084-H1,-21.447144,-11.649479,-1
SR-01-0058-H1,17.459063,7.700101,7
DE-02-0007-H1,-0.7177933,-9.377919,-1
SE-01-1251-H1,17.530422,7.907664,7
DK-01-0630-H1,2.218888,-14.005333,18
IT-05-0277-H1,17.531765,7.9122562,7
DK-01-0654-H1,17.53213,7.913131,7
DE-02-2287-H1,0.7831663,-9.775541,23
RU-01-0434-H1,17.44473,7.668513,7
FR-01-0337-H1,-2.3090558,-4.987005,15
DK-01-0048-H1,4.13009,7.1272707,-1
GR-01-0348-H1,17.529366,7.907037,7
DE-03-4466-H1,17.432058,7.6468115,7
DE-03-2766-H1,3.7721214,-23.467203,24
DE-01-0006-H1,10.210402,-13.485385,-1
AT-01-0160-H1,17.464935,7.7131376,7
IT-07-0338-H1,17.531635,7.9121366,7
NL-01-0811-H1,17.46007,7.70005,7
US-01-0414-H1,1.1080675,2.665533,12
DE-03-2990-H1,17.531212,7.9110637,7
DE-03-3587-H1,-3.178425,-20.536865,22
NY-01-0969-H1,-7.024027,-6.93804,-1
CZ-01-0284-H1,17.52877,7.904183,7
PL-01-0014-H1,-5.6293035,-14.170349,16
DK-01-1142-H1,-3.4694586,17.536516,-1
US-01-0832-H1,17.42887,7.6350627,7
DE-02-4690-H1,6.8618374,-0.24053055,-1
DE-03-2752-H1,17.527664,7.9189734,7
DE-02-3744-H1,10.210406,-13.485384,-1
CZ-01-1071-H1,14.415623,-2.9815714,-1
IT-02-0528-H2,17.458065,7.6956744,7
DE-03-4825-H1,17.530445,7.9153514,7
SE-01-0381-H1,17.531834,7.9165998,7
DE-03-1614-H1,13.137537,-14.500046,28
CZ-01-0469-H1,5.303883,-15.623457,-1
DE-02-0376-H1,2.3389425,-15.94491,18
DE-02-3779-H1,17.439768,7.658366,7
DE-03-3190-H1,0.4512706,-25.64868,-1
GR-01-0077-H1,-0.6669993,1.9608488,12
DE-02-1159-H1,17.461872,7.701058,7
IT-08-0182-H1,-19.905272,-11.849044,4
UK-01-0238-H1,11.578783,-1.9949293,-1
DE-02-2744-H1,17.530258,7.9100003,7
IT-01-0113-H1,-19.905272,-11.849044,4
GR-02-0461-H1,3.2185912,-16.987944,18
AT-01-0117-H1,17.530136,7.9066596,7
US-01-0097-H1,1.1726725,-3.4841318,17
NL-01-0971-H1,-1.1209297,-16.81008,19
DE-03-2468-H1,3.702924,4.1532393,12
SE-01-0444-H1,-17.632896,-8.668151,5
UK-03-0075-H1,17.447147,7.673466,7
DK-01-1519-H1,17.461575,7.7027535,7
DK-01-0827-H1,17.529922,7.9057136,7
GR-03-0224-H1,17.471436,7.7219133,7
SE-01-1226-H1,17.427055,7.6378655,7
GR-01-0707-H1,17.530575,7.907232,7
GR-02-0612-H1,17.525385,7.9137254,7
GR-01-0226-H1,17.5281,7.9192295,7
DE-02-1939-H1,17.532097,7.9128494,7
DK-01-1016-H1,17.530077,7.9105473,7
CZ-01-1302-H2,-6.248,-10.091256,-1
US-01-0339-H1,17.434937,7.649767,7
SE-01-1017-H1,17.451096,7.678278,7
DK-01-0607-H1,-2.1176105,-17.963074,19
GR-02-0330-H1,1.9930362,-13.968086,18
CZ-01-1778-H1,17.426882,7.6377835,7
DE-02-2239-H1,17.459494,7.6963058,7
DE-02-1979-H1,-7.6251783,-8.000859,-1
DE-02-0206-H1,-3.1234488,1.7855617,13
GR-02-0434-H1,17.446306,7.668455,7
IT-07-0094-H1,17.43032,7.6425605,7
RU-01-0551-H1,3.6257498,-18.983725,-1
DK-01-0389-H1,-21.447144,-11.649479,-1
DE-02-1904-H1,6.344676,-8.743789,23
IT-07-0180-H1,-1.6814185,-1.9982386,14
DE-03-4661-H1,-4.1223516,-9.117893,-1
DE-03-4641-H1,-5.8804436,-19.50216,21
SE-01-0110-H1,17.419859,7.631434,7
FR-01-0269-H1,17.45808,7.6956196,7
CZ-01-0420-H1,-1.129511,-5.807993,15
FR-01-0495-H1,6.6028886,-19.102873,26
UK-01-0450-H1,7.6719804,-7.4783554,23
DE-02-3776-H1,6.8618374,-0.24053055,-1
DE-02-2989-H1,-15.116699,-7.539377,5
DE-01-0164-H1,17.459795,7.701736,7
NL-01-0365-H1,17.455967,7.691208,7
IT-01-0425-H1,-19.975252,-13.473391,4
IT-02-0596-H1,17.524538,7.8957114,7
US-01-1000-H1,17.52997,7.9058094,7
FR-01-0209-H1,17.445316,7.666476,7
NY-01-0939-H1,2.385722,-4.1567316,17
ES-01-0483-H1,6.936916,-11.2136545,-1
CZ-01-0935-H1,17.448143,7.6755853,7
NY-01-0870-H1,17.436848,7.6535215,7
AT-01-0235-H1,17.532173,7.913036,7
DE-02-4775-H1,3.7018056,-9.588864,23
FR-01-1042-H1,8.187086,-17.65442,26
US-01-0138-H1,5.3038754,-15.623458,-1
DE-02-4990-H1,-16.111885,-8.604958,5
DK-01-1103-H1,17.529625,7.9130454,7
NL-01-1256-H1,-6.37914,-0.029990377,-1
DE-02-0454-H1,8.064224,-9.447392,-1
CZ-01-1734-H1,17.47011,7.7193465,7
UK-01-0125-H1,17.481428,7.745121,7
FR-01-0027-H1,17.41842,7.6323752,7
DE-02-1826-H1,-16.037256,-8.1209135,5
IT-02-0351-H1,10.5119095,-16.283524,-1
IT-01-0039-H1,17.437344,7.6571703,7
NL-01-0802-H1,4.4953547,-11.770494,-1
IT-01-0438-H1,13.137537,-14.500046,28
DE-02-3395-H1,17.528313,7.9022045,7
DK-01-0313-H1,17.434744,7.6496234,7
DK-01-1420-H1,7.3982253,-12.845101,-1
DE-02-5018-H1,17.530619,7.908432,7
AT-01-0091-H1,17.422367,7.6322904,7
NL-01-0568-H1,-2.216149,-20.783054,-1
DE-02-4846-H1,-15.11668,-7.5393863,5
IT-05-0251-H1,17.530474,7.910855,7
DE-02-3616-H1,11.332708,-4.563978,-1
ES-01-0458-H1,17.530424,7.9160943,7
DE-03-4754-H1,-6.2479935,-10.091261,-1
UK-03-0282-H1,-5.5779824,4.519747,-1
DE-02-4039-H1,5.92731,-5.9190817,-1
DE-03-1140-H1,13.537153,-13.998399,28
UK-01-0528-H1,4.075026,2.434867,12
SE-01-0689-H2,17.43985,7.658734,7
SE-01-0732-H1,10.398212,-12.515315,-1
GR-01-0709-H1,-0.96888,-10.82003,-1
US-01-0822-H1,-1.4809854,0.6095172,-1
US-01-0936-H1,5.5495653,-19.747158,26
DE-02-5171-H1,17.530151,7.910917,7
IT-07-0002-H1,17.530552,7.908099,7
DE-02-1403-H1,6.9151545,-16.22592,26
DE-03-1481-H1,17.419746,7.631374,7
DE-03-3261-H1,-4.124775,-9.1224785,-1
NY-01-1093-H1,17.444355,7.6677566,7
DE-02-4416-H1,12.679562,-13.0662775,28
GR-01-0188-H1,17.525291,7.907679,7
SE-01-0755-H1,-16.037308,-8.120904,5
FR-01-0412-H1,17.53137,7.910868,7
NL-01-0763-H1,-16.596628,-6.0265756,-1
FR-01-0538-H1,17.445515,7.672309,7
GR-01-0588-H1,17.47478,7.732486,7
US-01-0969-H1,17.422451,7.6351905,7
DE-03-2966-H1,17.478167,7.740025,7
PL-01-0060-H1,-4.7300673,-17.528254,-1
CZ-01-0409-H1,17.43493,7.65253,7
GR-03-0132-H1,-2.216149,-20.783054,-1
DE-02-0562-H1,-5.6293035,-14.170349,16
DE-02-4789-H1,17.525177,7.9066567,7
SE-01-0883-H1,3.4176676,-15.050458,18
DE-02-1860-H1,17.444494,7.668417,7
RU-01-0396-H1,17.531773,7.9127803,7
CZ-01-0648-H3,-15.400762,-12.767309,-1
DE-03-3853-H1,17.531672,7.915824,7
DE-03-3752-H1,17.530077,7.9062347,7
DE-02-4152-H1,-16.256004,-5.6808143,-1
DE-02-2218-H1,-0.8045269,-9.120017,-1
NY-01-0104-H1,17.528841,7.9160104,7
IT-01-0413-H1,11.333148,-4.5634174,-1
DE-02-0750-H1,-3.8749392,-7.227773,-1
DE-02-4688-H1,-15.116699,-7.539377,5
