Cluster,1,2,4,5,6,8,10,12,14,16,31,59,73,77,99,111,169,188,201,252,148B,28A,3C1,3C2,64B,7B1,7C1-24,8B,99-3-3,
-1,367,193,27,26,143,18,27,13,6,9,33,18,11,5,74,6,40,11,12,8,6,18,11,16,8,5,9,10,13,5301
0,4,31,19,0,0,0,0,0,6,8,0,9,4,13,1,3,5,4,5,8,20,0,0,0,1,0,0,0,1,1594
1,0,0,0,63,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,36,0,32,30,0,0,969
2,1,0,0,61,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,43,0,33,26,0,0,944
3,8,83,60,1,1,0,0,0,19,24,1,21,19,39,0,8,6,18,11,20,48,1,0,0,0,0,0,0,0,3960
4,4,20,14,0,0,0,0,0,2,3,0,9,3,7,2,2,0,2,3,0,2,0,0,0,0,0,0,0,1,768
5,3,33,25,0,1,0,0,0,9,7,0,15,4,18,0,8,1,8,13,4,18,0,0,0,2,0,0,0,1,1769
6,1,11,15,0,0,0,0,0,5,4,0,5,1,5,0,2,2,3,3,4,8,0,0,0,0,1,0,0,1,711
7,1,12,9,0,0,0,0,0,1,4,0,5,0,5,0,0,0,5,2,1,5,0,0,0,0,0,0,0,0,500
8,0,8,11,0,0,0,0,0,1,1,0,1,3,2,0,1,1,1,5,2,5,0,0,0,1,0,0,0,0,422
9,2,8,17,0,0,0,0,0,2,1,0,7,4,5,0,1,0,2,1,4,11,0,0,0,0,0,0,0,1,685
10,1,10,11,0,0,0,0,1,3,4,0,2,3,7,1,3,1,5,6,3,7,0,0,0,0,0,0,0,0,512
11,1,4,7,0,0,0,0,0,1,1,0,1,0,2,0,3,0,0,0,1,6,0,0,0,0,0,0,0,0,346
12,2,13,11,0,0,0,0,0,0,1,0,1,2,7,0,3,0,1,1,2,5,0,0,0,0,0,0,0,0,543
13,13,0,3,0,0,0,0,34,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,194
14,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497
15,26,8,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,267
16,2,55,5,0,0,1,0,0,4,1,0,0,2,7,0,0,1,8,6,1,3,0,0,0,0,0,0,1,0,777
17,0,0,0,0,0,127,59,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,55,0,618
18,56,2,0,0,2,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,188
19,1,3,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,245
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,224
21,0,5,10,0,0,0,0,0,5,3,0,0,2,4,0,0,0,0,2,3,3,0,0,0,0,0,0,0,1,443
22,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,2,3,0,0,0,3,0,0,0,0,0,0,0,0,368
23,0,207,0,0,0,0,0,0,0,0,41,0,0,0,0,0,2,0,0,1,0,0,0,0,61,0,0,0,34,1907
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,365
25,106,0,0,0,0,0,0,8,0,0,0,3,0,0,13,0,0,0,0,0,0,38,0,0,0,0,1,0,0,145
26,14,0,0,0,0,2,0,12,1,0,4,0,0,0,2,0,0,0,0,0,0,1,1,0,2,1,0,1,0,364
27,0,54,12,0,0,0,1,0,0,7,0,0,0,0,0,1,0,0,0,4,0,1,1,0,0,0,0,0,0,219
28,33,0,0,0,0,0,0,3,2,0,0,1,1,1,7,3,0,0,0,0,1,0,0,0,0,0,0,0,0,315
