ID,tsne   dim 1,tsne dim 2,Cluster
SRR11605054.1,18.615671,0.26330873,12
SRR11605054.2,-8.646879,-1.354702,3
SRR11605054.3,-4.48657,-16.696188,9
SRR11605054.4,-9.936009,23.505392,1
SRR11605054.5,7.0838957,-14.172474,12
SRR11605054.6,-16.719746,-17.951338,7
SRR11605054.7,15.452966,4.219008,12
SRR11605054.8,-17.367132,-23.467613,7
SRR11605054.9,16.894272,-11.66802,-1
SRR11605054.10,-15.485591,28.016665,1
SRR11605054.11,24.858885,8.35095,10
SRR11605054.12,3.5634837,5.949141,-1
SRR11605054.13,15.828258,17.275768,11
SRR11605054.14,19.261757,14.080972,11
SRR11605054.15,-13.568724,-22.073956,-1
SRR11605054.16,-9.726781,14.845244,0
SRR11605054.17,26.519585,7.1389594,10
SRR11605054.18,17.678314,12.174502,12
SRR11605054.19,19.150967,5.6735463,12
SRR11605054.20,24.858885,8.35095,10
SRR11605054.21,-9.476362,-16.570616,-1
SRR11605054.22,8.250922,20.627926,8
SRR11605054.23,-12.157067,20.078754,1
SRR11605054.24,7.2695594,-13.730461,12
SRR11605054.25,24.327501,8.694311,10
SRR11605054.26,15.215094,18.697422,-1
SRR11605054.27,16.894325,-11.668067,-1
SRR11605054.28,7.083078,-14.171415,12
SRR11605054.29,0.48955834,0.53011847,-1
SRR11605054.30,10.785137,-3.5780764,-1
SRR11605054.31,-25.329508,5.4273167,4
SRR11605054.32,-16.37243,22.662117,1
SRR11605054.33,5.624069,-9.751283,-1
SRR11605054.34,21.281084,16.682886,11
SRR11605054.35,7.2642193,-13.7351055,12
SRR11605054.36,-11.082105,-24.430517,6
SRR11605054.37,-21.327227,-0.9730666,-1
SRR11605054.38,-3.4771113,-22.367598,-1
SRR11605054.39,-8.611226,-10.785301,9
SRR11605054.40,12.664389,-0.011477413,-1
SRR11605054.41,20.616764,-0.7017403,12
SRR11605054.42,20.616764,-0.7017403,12
SRR11605054.43,16.133461,6.730315,12
SRR11605054.44,7.2635574,-13.735727,12
SRR11605054.45,1.2531192,-11.185132,-1
SRR11605054.46,16.557968,17.720182,11
SRR11605054.47,-8.397534,15.79204,0
SRR11605054.48,-15.485791,28.017305,1
SRR11605054.49,20.573084,-3.6163235,12
SRR11605054.50,-8.898604,-23.132977,6
SRR11605054.51,-19.256468,-21.050478,7
SRR11605054.52,-19.256468,-21.050478,7
SRR11605054.53,19.236036,1.8033516,12
SRR11605054.54,-2.264895,-5.7863455,3
SRR11605054.55,17.968801,-2.565828,12
SRR11605054.56,-1.1428337,-7.865544,-1
SRR11605054.57,1.4028618,-14.996015,-1
SRR11605054.58,8.055879,3.332333,-1
SRR11605054.59,2.0358083,-14.082117,-1
SRR11605054.60,2.0358083,-14.082117,-1
SRR11605054.61,-24.163351,3.9355903,4
SRR11605054.62,0.39887136,0.5173815,-1
SRR11605054.63,-0.33826432,2.8190167,-1
SRR11605054.64,7.261559,-13.737631,12
SRR11605054.65,-9.19588,-1.3653543,3
SRR11605054.66,-10.366327,-11.571016,9
SRR11605054.67,18.83265,16.568161,11
SRR11605054.68,7.0839767,-14.171367,12
SRR11605054.69,-0.26623476,-21.716274,-1
SRR11605054.70,-19.256468,-21.050478,7
SRR11605054.71,3.372408,4.510399,-1
SRR11605054.72,7.08385,-14.170726,12
SRR11605054.73,-20.284061,-19.082752,7
SRR11605054.74,5.777874,20.336868,8
SRR11605054.75,7.721886,-15.906216,12
SRR11605054.76,-9.709775,-3.986394,3
SRR11605054.77,24.281828,8.081354,10
SRR11605054.78,-17.99589,-2.3219786,5
SRR11605054.79,21.281084,16.682886,11
SRR11605054.80,-20.61471,-11.21491,2
SRR11605054.81,-23.443655,7.7230873,4
SRR11605054.82,7.263325,-13.736059,12
SRR11605054.83,17.13781,18.180506,11
SRR11605054.84,-23.206163,-9.550482,2
SRR11605054.85,-11.6772585,-15.088893,9
SRR11605054.86,-0.31964263,-23.320103,-1
SRR11605054.87,7.083623,-14.172075,12
SRR11605054.88,11.184145,14.350882,-1
SRR11605054.89,-3.2111301,-15.024734,9
SRR11605054.90,7.2719536,-13.729172,12
