ID,tsne dim 1,tsne dim 2,Clusters
SRR11605054.1,5.46153,0.84276885,23
SRR11605054.2,-8.169849,0.7745771,20
SRR11605054.3,-6.3436646,5.7179594,17
SRR11605054.4,0.94481117,-10.066134,8
SRR11605054.5,-1.2710854,1.7518282,22
SRR11605054.6,-10.947534,-0.87358207,5
SRR11605054.7,7.0804777,1.6632943,23
SRR11605054.8,-9.117592,-3.3107543,5
SRR11605054.9,1.6650559,1.9454894,-1
SRR11605054.10,2.1617818,-12.64218,8
SRR11605054.11,13.732847,1.7939332,13
SRR11605054.12,9.147292,7.6373506,9
SRR11605054.13,4.6249065,8.751971,0
SRR11605054.14,10.69752,2.7808528,15
SRR11605054.15,-8.029305,-0.94557804,-1
SRR11605054.16,-3.851264,-8.357716,4
SRR11605054.17,14.189664,2.72054,13
SRR11605054.18,9.798309,1.004493,-1
SRR11605054.19,7.5981975,1.8839215,23
SRR11605054.20,13.732847,1.7939332,13
SRR11605054.21,-7.7284956,4.3507924,-1
SRR11605054.22,9.085987,-5.3259273,11
SRR11605054.23,-1.7002676,-10.438461,8
SRR11605054.24,-1.2728816,1.749927,22
SRR11605054.25,13.539725,1.6397378,13
SRR11605054.26,3.801084,8.50646,0
SRR11605054.27,1.6650622,1.9454725,-1
SRR11605054.28,-0.8702128,2.1594477,22
SRR11605054.29,6.237119,-6.1889486,-1
SRR11605054.30,4.509579,-2.8706849,6
SRR11605054.31,-8.901336,8.932428,18
SRR11605054.32,-0.4685575,-12.768094,8
SRR11605054.33,1.2173637,6.4422736,-1
SRR11605054.34,10.630591,3.8427355,15
SRR11605054.35,-1.2742087,1.7485578,22
SRR11605054.36,-1.8957016,6.9677606,3
SRR11605054.37,-10.691023,6.964995,1
SRR11605054.38,-1.0860065,5.69857,-1
SRR11605054.39,-2.571697,-3.0905337,12
SRR11605054.40,4.0770297,3.7907364,-1
SRR11605054.41,4.9072156,2.09606,-1
SRR11605054.42,4.9074764,2.0960324,-1
SRR11605054.43,8.404611,-0.15354556,23
SRR11605054.44,-1.2727897,1.7501398,22
SRR11605054.45,-0.35061994,-3.9309022,-1
SRR11605054.46,4.8829217,8.58692,0
SRR11605054.47,-3.0126834,-8.392973,4
SRR11605054.48,2.1617818,-12.64218,8
SRR11605054.49,4.066464,2.0360255,-1
SRR11605054.50,-1.5774026,8.586683,3
SRR11605054.51,-10.678898,-3.3707197,5
SRR11605054.52,-10.678898,-3.3707197,5
SRR11605054.53,5.95345,1.2178322,23
SRR11605054.54,-4.06793,2.643891,21
SRR11605054.55,4.5025983,0.7578723,23
SRR11605054.56,-3.430819,-0.64124215,-1
SRR11605054.57,-1.0094278,-2.5620666,-1
SRR11605054.58,6.5647216,5.206644,9
SRR11605054.59,-1.1933459,-2.5753682,-1
SRR11605054.60,-1.193351,-2.575369,-1
SRR11605054.61,-8.118336,8.436165,18
SRR11605054.62,6.1998568,-6.1942534,-1
SRR11605054.63,2.9327126,-4.532241,-1
SRR11605054.64,-1.272031,1.7509156,22
SRR11605054.65,-8.3223,1.012418,20
SRR11605054.66,-3.970749,-3.0937471,12
SRR11605054.67,9.340096,4.275961,15
SRR11605054.68,-1.2727835,1.7500504,22
SRR11605054.69,-2.1430156,3.8299766,14
SRR11605054.70,-10.678898,-3.3707197,5
SRR11605054.71,8.556165,7.7062416,9
SRR11605054.72,-0.8699191,2.159726,22
SRR11605054.73,-10.116392,-5.0383472,5
SRR11605054.74,8.519487,-6.4473004,11
SRR11605054.75,-0.17304191,2.6249774,-1
SRR11605054.76,-7.4826365,1.7480243,-1
SRR11605054.77,13.573911,1.5133582,13
SRR11605054.78,-11.593296,5.27114,1
SRR11605054.79,10.630601,3.8427296,15
SRR11605054.80,-11.528821,1.7281513,2
SRR11605054.81,-7.1018887,9.651416,-1
SRR11605054.82,-0.8703862,2.1595235,22
SRR11605054.83,5.08033,8.228257,0
SRR11605054.84,-12.585963,1.0879443,2
SRR11605054.85,-7.6859674,3.4677086,-1
SRR11605054.86,-1.3434755,4.1658545,14
SRR11605054.87,-1.2733651,1.7494255,22
SRR11605054.88,9.276101,-2.3769877,19
SRR11605054.89,-6.053988,6.8590055,-1
SRR11605054.90,-1.2715511,1.7514383,22
SRR11605054.91,-11.481509,1.5859858,2
SRR11605054.92,-1.273486,1.749426,22
SRR11605054.93,11.6505575,0.8091383,-1
SRR11605054.94,8.712316,7.7260737,9
SRR11605054.95,-0.86927414,2.160148,22
SRR11605054.96,-10.899085,-1.1286162,5
