ID,tsne dim 1,tsne dim 2,Cluster
SRR11605054.1,1.4924383,-10.469329,11
SRR11605054.2,-4.772492,12.680342,10
SRR11605054.3,7.745081,11.049554,7
SRR11605054.4,-22.183939,-2.3902085,1
SRR11605054.5,1.3297431,3.5267694,11
SRR11605054.6,11.918011,16.141766,2
SRR11605054.7,-1.1318058,-12.422236,11
SRR11605054.8,14.59285,12.198288,5
SRR11605054.9,3.8384683,-2.9013546,11
SRR11605054.10,-21.178146,-5.197002,1
SRR11605054.11,-6.7151704,-19.59939,6
SRR11605054.12,9.260072,-13.591769,-1
SRR11605054.13,7.027807,-21.218328,-1
SRR11605054.14,1.4774048,-19.239985,11
SRR11605054.15,1.7877605,10.568678,-1
SRR11605054.16,-14.679868,3.2886896,0
SRR11605054.17,-8.251537,-20.177519,6
SRR11605054.18,0.12488267,-17.846785,11
SRR11605054.19,1.494551,-14.221556,11
SRR11605054.20,-6.7151704,-19.59939,6
SRR11605054.21,7.094688,15.837175,-1
SRR11605054.22,-9.465642,-14.407569,3
SRR11605054.23,-19.533772,0.7864444,1
SRR11605054.24,1.748142,3.6672297,11
SRR11605054.25,-6.21137,-19.500103,6
SRR11605054.26,6.8645797,-19.817116,11
SRR11605054.27,3.8384585,-2.9013777,11
SRR11605054.28,1.7482389,3.6673155,11
SRR11605054.29,-6.2631774,-4.930917,-1
SRR11605054.30,-5.92742,-8.602286,-1
SRR11605054.31,2.168282,20.74896,9
SRR11605054.32,-19.080975,-2.3877492,1
SRR11605054.33,-1.3702307,-1.5323316,-1
SRR11605054.34,2.9588668,-19.559359,11
SRR11605054.35,1.7478906,3.667326,11
SRR11605054.36,15.669287,8.176885,4
SRR11605054.37,4.2398934,23.561544,8
SRR11605054.38,12.084475,3.5960858,-1
SRR11605054.39,-4.052344,2.7001786,-1
SRR11605054.40,-1.0412327,-6.124439,-1
SRR11605054.41,3.3422122,-10.309001,11
SRR11605054.42,3.3422055,-10.309025,11
SRR11605054.43,-1.4273156,-14.049518,11
SRR11605054.44,1.7500278,3.667459,11
SRR11605054.45,-2.6909273,2.905159,-1
SRR11605054.46,6.308482,-21.331516,11
SRR11605054.47,-14.700165,1.8480983,0
SRR11605054.48,-21.177954,-5.197063,1
SRR11605054.49,3.7194984,-8.61708,11
SRR11605054.50,15.427997,6.0862393,4
SRR11605054.51,14.425945,14.224101,5
SRR11605054.52,14.425945,14.224101,5
SRR11605054.53,1.7329268,-11.548083,11
SRR11605054.54,0.3947805,7.40843,-1
SRR11605054.55,1.4979345,-8.414518,11
SRR11605054.56,1.09164,6.0574884,-1
SRR11605054.57,-1.731466,1.3352782,-1
SRR11605054.58,7.646066,-8.626107,-1
SRR11605054.59,-2.4932663,1.1991795,-1
